text,true,predicted
The 3-week sulphasalazine syndrome strikes again.,positive,negative
"When the disease recurred conventional amphotericin B was used again, but had to be stopped because of severe side effects.",positive,negative
We report a case of rhino-orbital zygomycosis caused by Rhizopus oryzae that developed in a 41-year-old male renal transplant recipient.,negative,positive
It appears that a low dose of mannitol acts as a renal vasodilator while high-dose mannitol is renal vasoconstrictor.,negative,positive
"In eight patients, a mean decrease in serum Na+ of 8.25 +/- 3.2 mEq/L was observed after a single 200 mg intravenous dose of lorcainide.",positive,negative
"Although there have been numerous reports of effusions, none have provided complete pleural fluid analysis; therefore, we report 2 patients with dasatinib-induced pleural effusion with complete pleural fluid analysis.",positive,negative
Severe hypertension in newborn after pyeloplasty of hydronephrotic kidney.,negative,positive
"We describe the case of a 61-year-old Peruvian man, who received bilateral lung transplants for idiopathic pulmonary fibrosis, and subsequently developed persistent fever with pulmonary infiltrates, ventilator dependence, and pneumothoraces.",negative,positive
Patients should be informed about the risk of osteonecrosis when taking dexamethasone as an antiemetic drug.,positive,negative
DISCUSSION: SIADH has been reported as a complication of treatment with vinca alkaloids.,negative,positive
Ferrous sulfate-induced increase in requirement for thyroxine in a patient with primary hypothyroidism.,negative,positive
"The occurrence of allergic reactions to steroids is reviewed, and suggestions for management of pulsed IV methylprednisolone therapy are made.",negative,positive
"The Japanese literature was reviewed for reports on this allergy, and the occurrence due to budesonide was compared with that of other dermocorticosteroids.",negative,positive
Malignant lymphoma of skin associated with postmastectomy lymphedema.,negative,positive
CONCLUSIONS: The results of our study suggest that the pharmacokinetics of parent ifosfamide may not be substantially altered in patients with renal failure.,negative,positive
Treatment of caffeine toxicity with esmolol.,negative,positive
Palpable purpuric skin lesions on the anterior surface of both legs appeared on the 55th day of amphotericin B treatment.,positive,negative
These nail changes gradually disappeared when the dose of clofazimine was reduced.,positive,negative
"To our knowledge, no case of fatal agranulocytosis as a result of olanzapine treatment was reported in the literature.",negative,positive
Cisplatin and acute tubular necrosis.,negative,positive
CASE: A malignant mixed mesodermal tumor was diagnosed in a 64-year-old woman with a bicornuate uterus while she was taking raloxifene for osteoporosis prevention.,positive,negative
"Transient, nonpigmenting fixed drug eruption caused by radiopaque contrast media.",negative,positive
"We report a patient with a recurrent supratentorial pilocytic astrocytoma who had an untoward interaction between high-dose tamoxifen therapy and phenytoin (PHT), drugs that share a common enzyme for metabolism, therefore emphasizing the need to monitor concomitant antiepileptic drug (AED) levels when high-dose tamoxifen therapy is instituted.",negative,positive
Induction of rapid mood cycling during L-dopa treatment in a bipolar patient.,positive,negative
Dapsone in rheumatoid arthritis.,negative,positive
We report 3 patients who developed cutaneous vasculitis which is a rare and serious side-effect during antithyroid drug therapy.,negative,positive
"One woman received ifosfamide 1000 mg/m2 (1 h infusion on days 1-5); confusion, lethargy, and speech deterioration developed on day 3.",negative,positive
"CONCLUSIONS: In any patient under clopidogrel (Plavix): Sanofi-Synthelabo, Bristol-Myers Squibb/Sanofi Pharmaceuticals) therapy and with a typical clinical presentation, SSEH should be suspected and quickly diagnosed, regardless of hemostatic status or the absence of other major risk factors.",negative,positive
The use of plasma exchange in quinine-TMA is called into question.,negative,positive
Treatment with tacrolimus ointment completely resolved the oral lesions after 2 months of therapy.,negative,positive
Effectiveness of octreotide in a case of refractory sulfonylurea-induced hypoglycemia.,negative,positive
"Despite aggressive therapy with amphotericin B, the neonate succumbed to overwhelming systemic candidiasis.",negative,positive
These results suggested that the visual dysfunction might be entirely attributable to retinal rather than optic nerve toxicity.,negative,positive
Severe 5-fluorouracil toxicity secondary to dihydropyrimidine dehydrogenase deficiency.,negative,positive
"Eighty-two patients with various malignancies who received imipenem/cilastatin 143 times for neutropenic fever between March 1994 and October 1999 in Department of Pediatric Oncology, Gazi University, were identified.",positive,negative
"We report a case of recurrent, long-lasting familiar amnesia occurring after betablocker treatment withdrawal in a migrainous patient.",negative,positive
"Complex drug-induced cutaneous reactions have been previously reported with other drugs, especially with D-penicillamine, which bears chemical similarities with captopril.",negative,positive
Pulmonary sarcoidosis following interferon therapy for advanced renal cell carcinoma.,negative,positive
Three cases of severe psychotic pictures with only mild or completely missing vegetative symptoms after ingestion of angel's trumpet tea are reported.,negative,positive
Immunosuppression elicited by the extensive administration of prednisolone was suspected for the initiation of the generalized mite infestation.,positive,negative
Anaphylactoid reaction to rattlesnake envenomation.,negative,positive
"We describe a case of coexisting psoriasis and SCLE initially treated with infliximab, and then alefacept.",negative,positive
DISCUSSION: The Naranjo probability scale indicates C. mukul as the possible cause of rhabdomyolysis in our patient.,negative,positive
"We believe the temporal association of the abnormal liver enzymes in this patient, in the absence of other offending agents, argues strongly in favor of 6-TG as a cause of liver enzyme abnormalities.",positive,negative
"Six months after the onset of type 1 diabetes mellitus, the patient continues to receive 40 units of insulin daily.",negative,positive
"Moreover, these findings suggest that the incidence of BOOP following rituximab therapy may be higher than has been previously appreciated.",positive,negative
Three of 50 patients treated with isotretinoin (1 mg/kg/day) for cystic acne complained of poor night vision and/or excessive glare sensitivity.,positive,negative
Toxic shock syndrome associated with the use of the vacuum-assisted closure device.,negative,positive
"Both patients deteriorated during treatment with propranolol, and became asymptomatic during treatment with verapamil with normal graded exercise tests.",negative,positive
Myoclonus associated with continuous dobutamine infusion in a patient with end-stage renal disease.,positive,negative
We describe an infant who developed juvenile glaucoma with buphthalmos while receiving systemic steroid treatment.,negative,positive
We suspect that extrapyramidal signs in this case could be a result of acute brain injury because of the massive copper release from liver to the circulation just before and during LT.,negative,positive
Analysis and correlation of antenatal data and drug therapy with individual cases failed to show any specific abnormality that could reasonably be attributed to zidovudine therapy.,negative,positive
"In the presented case fluvoxamine-induced akathisia in an OCD patient was partially resistant to the anticholinergic agent biperiden, and was successfully treated with the 5-HT2A/5-HT2C antagonist mianserin.",positive,negative
Herein we report four patients who underwent liver transplantation and developed neutropenia while receiving MMF.,positive,negative
We propose a classification of cutaneous minocycline pigmentation based on clinico-pathological criteria.,negative,positive
An associated transient pancreatic dysfunction was also noted.,negative,positive
A review of the literature revealed two other cases of hepatic angiosarcoma in patients after long-term cyclophosphamide treatment.,positive,negative
Severe slowly resolving heroin-induced pulmonary edema.,negative,positive
We describe a 35-year-old woman who developed severe thrombotic complications due to heparinization and unrecognized HDAs.,negative,positive
Clinically apparent reactivation of hepatitis B virus typically occurred 1 month after the 3rd dose of infliximab.,negative,positive
Pamidronate treatment of hypercalcemia caused by vitamin D toxicity.,negative,positive
"Treatment with interferon-alpha (IFN-alpha), however, led to dramatic clinical, radiographic, and histologic improvement.",negative,positive
Sulfadiazine crystalluria revisited.,positive,negative
"The patient was enrolled in a weight-loss clinic, and his diabetes medications were adjusted.Subsequently, olanzapine was discontinued because of weight gain and uncontrolled diabetes.",positive,negative
The occurrence of torsades de pointe is often associated with the use of drugs.,negative,positive
"2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",positive,negative
"According to the literature, chlorambucil central nervous toxicity is found almost exclusively in childhood nephrotic syndrome.",positive,negative
"Metoclopramide-induced parkinsonism is not rare, and appropriate dose reduction in patients with renal failure will help reduce the incidence of this morbidity.",positive,negative
METHOD: Demonstration of the occurrence of agitated dysphoria after loss of response to an antidepressant following continuous administration through 7 years of euthymia; with a worsening on dose increase; and recurrence of agitation on re-exposure 1 year later; in a patient whose previous dysthymia and recurrent depressions had no recognizable manic or hypomanic features.,negative,positive
Iodine-induced hypothyroidism and goiter following lipiodolTM lymphography.,negative,positive
The successful development and implementation of this protocol will have impact on patients who have anaphylactic reactions to MTX but require this medication for specific diseases.,positive,negative
"Drug-induced gingival enlargement has been reported in patients treated with various types of anticonvulsant drugs, and is generally associated with the presence of plaque, gingival inflammation, and a genetic predisposition.",negative,positive
"We suggest that meloxicam might have intestinal toxic effects when taken in high doses, because of reduced COX-2 selectivity.",positive,negative
Favorable outcome of de novo hepatitis B infection after liver transplantation with lamivudine and adefovir therapy.,positive,negative
"We report sporotrichoid spread of Mycobacterium marinum in a 37-year-old woman with Crohn's disease, who had been receiving infliximab infusions for 2 years.",negative,positive
"One explanation for the noted increase in the theophylline level is that metabolism occurs mainly by cytochrome P450 (CYP 1A2), an enzyme that is known to be inhibited with high concentrations of zafirlukast.",positive,negative
Eruptive latent metastatic melanomas after initiation of antitumor necrosis factor therapies.,negative,positive
"After the episode, 1 patient continued to receive d-penicillamine therapy and 2 changed to zinc sulfate treatment.",negative,positive
A recently recognized entity associated with the treatment of acute promyelocytic leukemia: the retinoic acid syndrome.,negative,positive
One patient developed severe hyponatremia with serum Na+ of 108 mEq/L when hydrochlorothiazide was given to control hypertension.,positive,negative
A 64-year-old male patient developed progressive pancytopenia three weeks into therapy with lenalidomide for his relapsed MM.,negative,positive
"DISCUSSION: Patients with 5-FU-induced ectropion experience tender, red, scaled lids, making contact lens wear difficult.",positive,negative
